run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,cap_level,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap,comparison_admissible,comparison_exclusion_reason
TAX-bom_5-0.00,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0,2500000,none,48670,48640,48640,,,0,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.05,0,1,
TAX-bom_5-15.00,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,15,2500000,none,48714,48683.983,48640,,,43.983,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.05,0,1,
TAX-bom_5-50.00,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,50,2500000,none,48817,48786.61,48640,,,146.61,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.05,0,1,
TAX-bom_5-75.00,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,75,2500000,none,48890,48859.915,48640,,,219.915,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.03,0,1,
TAX-bom_5-100.00,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,100,2500000,none,48963,48933.22,48640,,,293.22,0,0,2932200,2932200,0,,,30,3.2258064516129,,3,5,4,OPTIMAL,0.08,0,1,
TAX-bom_13-0.00,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0,2500000,none,116580,116448,116448,,,0,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.11,0,1,
TAX-bom_13-15.00,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,15,2500000,none,117020,116890.43919,116448,,,442.43919,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.23,0,1,
TAX-bom_13-50.00,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,50,2500000,none,118060,117922.7973,116448,,,1474.7973,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.06,0,1,
TAX-bom_13-75.00,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,75,2500000,none,118790,118660.19595,116448,,,2212.19595,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.16,0,1,
TAX-bom_13-100.00,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,100,2500000,none,119530,119397.5946,116448,,,2949.5946,0,0,29495946,29495946,0,,,134,0.74074074074074,,7,9.5714285714286,8,OPTIMAL,0.14,0,1,
TAX-bom_26-0.00,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,0,2500000,none,867550,867120,867120,,,0,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.16,0,1,
TAX-bom_26-15.00,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,15,2500000,none,868170,867743.616,867120,,,623.616,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.11,0,1,
TAX-bom_26-50.00,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,50,2500000,none,869630,869198.72,867120,,,2078.72,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.11,0,1,
TAX-bom_26-75.00,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,75,2500000,none,870670,870238.08,867120,,,3118.08,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.16,0,1,
TAX-bom_26-100.00,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,100,2500000,none,871710,871277.44,867120,,,4157.44,0,0,41574400,41574400,0,,,430,0.23201856148492,,1,15.925925925926,3,OPTIMAL,0.22,0,1,
TAX-bom_50-0.00,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,0,2500000,none,1382200,1381460,1381460,,,0,0,0,194576659,194576659,0,,,706,0.14144271570014,,5,13.843137254902,5,OPTIMAL,0.08,0,1,
TAX-bom_50-15.00,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,15,2500000,none,1385100,1384378.649885,1381460,,,2918.649885,0,0,194576659,194576659,0,,,706,0.14144271570014,,5,13.843137254902,5,OPTIMAL,0.14,0,1,
TAX-bom_50-50.00,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,50,2500000,none,1391900,1391188.83295,1381460,,,9728.83295,0,0,194576659,194576659,0,,,706,0.14144271570014,,5,13.843137254902,5,OPTIMAL,0.11,0,1,
TAX-bom_50-75.00,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,75,2500000,none,1396800,1396053.249425,1381460,,,14593.249425,0,0,194576659,194576659,0,,,706,0.14144271570014,,5,13.843137254902,5,OPTIMAL,0.17,0,1,
TAX-bom_50-100.00,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,100,2500000,none,1401600,1400917.6659,1381460,,,19457.6659,0,0,194576659,194576659,0,,,706,0.14144271570014,,5,13.843137254902,5,OPTIMAL,0.13,0,1,
TAX-bom_ml4_30-0.00,bom_ml4_30,bom_supemis_ml4_30.csv,EMISTAXE,PLM,1,10,0,2500000,none,378730,378440,378440,,,0,0,0,13603260,13603260,0,,,290,0.34364261168385,,3,9.3548387096774,2,OPTIMAL,0.27,0,1,
TAX-bom_ml4_30-15.00,bom_ml4_30,bom_supemis_ml4_30.csv,EMISTAXE,PLM,1,10,15,2500000,none,378930,378644.0489,378440,,,204.0489,0,0,13603260,13603260,0,,,290,0.34364261168385,,3,9.3548387096774,2,OPTIMAL,0.2,0,1,
TAX-bom_ml4_30-50.00,bom_ml4_30,bom_supemis_ml4_30.csv,EMISTAXE,PLM,1,10,50,2500000,none,379410,379120.163,378440,,,680.163,0,0,13603260,13603260,0,,,290,0.34364261168385,,3,9.3548387096774,2,OPTIMAL,0.36,0,1,
TAX-bom_ml4_30-75.00,bom_ml4_30,bom_supemis_ml4_30.csv,EMISTAXE,PLM,1,10,75,2500000,none,379750,379460.2445,378440,,,1020.2445,0,0,13603260,13603260,0,,,290,0.34364261168385,,3,9.3548387096774,2,OPTIMAL,0.25,0,1,
TAX-bom_ml4_30-100.00,bom_ml4_30,bom_supemis_ml4_30.csv,EMISTAXE,PLM,1,10,100,2500000,none,380090,379800.326,378440,,,1360.326,0,0,13603260,13603260,0,,,290,0.34364261168385,,3,9.3548387096774,2,OPTIMAL,0.25,0,1,
TAX-bom_par4-0.00,bom_par4,bom_supemis_par4.csv,EMISTAXE,PLM,1,10,0,2500000,none,169980,169920,169920,,,0,0,0,5939600,5939600,0,,,57,1.7241379310345,,6,5.1818181818182,4,OPTIMAL,0.11,0,1,
TAX-bom_par4-15.00,bom_par4,bom_supemis_par4.csv,EMISTAXE,PLM,1,10,15,2500000,none,170070,170009.094,169920,,,89.094,0,0,5939600,5939600,0,,,57,1.7241379310345,,6,5.1818181818182,4,OPTIMAL,0.11,0,1,
TAX-bom_par4-50.00,bom_par4,bom_supemis_par4.csv,EMISTAXE,PLM,1,10,50,2500000,none,170270,170216.98,169920,,,296.98,0,0,5939600,5939600,0,,,57,1.7241379310345,,6,5.1818181818182,4,OPTIMAL,0.11,0,1,
TAX-bom_par4-75.00,bom_par4,bom_supemis_par4.csv,EMISTAXE,PLM,1,10,75,2500000,none,170420,170365.47,169920,,,445.47,0,0,5939600,5939600,0,,,57,1.7241379310345,,6,5.1818181818182,4,OPTIMAL,0.09,0,1,
TAX-bom_par4-100.00,bom_par4,bom_supemis_par4.csv,EMISTAXE,PLM,1,10,100,2500000,none,170570,170513.96,169920,,,593.96,0,0,5939600,5939600,0,,,57,1.7241379310345,,6,5.1818181818182,4,OPTIMAL,0.09,0,1,
