experiment,run_id,instance_id,bom_file,strategy,model_type,service_time_promised,suppliers_available,tax_rate,cap_value,objective_value,total_cost_with_tax,total_cost_without_tax,procurement_cost,inventory_holding_cost,carbon_cost,achieved_service_time,service_constraint_binding,total_emissions,baseline_emissions,emission_reduction_pct,WIP,WIP_reduction_pct,DIO,DIO_improvement_pct,ITR,buffer_count,avg_decoupled_lead_time,suppliers_used,solver_status,runtime_sec,mip_gap
scalability,SCAL-002,bom_2,bom_supemis_2.csv,EMISTAXE,PLM,1,10,0,2500000,35523,35520,35520,,,0,0,0,112400,,,,,3,,,1,1.5,1,OPTIMAL,0.03,
scalability,SCAL-003,bom_3,bom_supemis_3.csv,EMISTAXE,PLM,1,10,0,2500000,23607,23600,23600,,,0,0,0,237400,,,,,7,,,2,2.3333333333333,1,OPTIMAL,0.01,
scalability,SCAL-004,bom_4,bom_supemis_4.csv,EMISTAXE,PLM,1,10,0,2500000,40931,40920,40920,,,0,0,0,461840,,,,,11,,,3,2.75,2,OPTIMAL,0.03,
scalability,SCAL-005,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0,2500000,48670,48640,48640,,,0,0,0,2932200,,,,,30,,,3,5,4,OPTIMAL,0.03,
scalability,SCAL-006,bom_6,bom_supemis_6.csv,EMISTAXE,PLM,1,10,0,2500000,42648,42620,42620,,,0,0,0,2681960,,,,,28,,,4,4.6666666666667,3,OPTIMAL,0.06,
scalability,SCAL-007,bom_7,bom_supemis_7.csv,EMISTAXE,PLM,1,10,0,2500000,46154,46120,46120,,,0,0,0,3853590,,,,,34,,,4,4.8571428571429,4,OPTIMAL,0.05,
scalability,SCAL-008,bom_8,bom_supemis_8.csv,EMISTAXE,PLM,1,10,0,2500000,53132,53084,53084,,,0,0,0,5587240,,,,,48,,,3,6,4,OPTIMAL,0.05,
scalability,SCAL-010,bom_10,bom_supemis_10.csv,EMISTAXE,PLM,1,10,0,2500000,63346,63273,63273,,,0,0,0,9949345,,,,,73,,,4,7.3,5,OPTIMAL,0.14,
scalability,SCAL-013,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0,2500000,116580,116448,116448,,,0,0,0,29495946,,,,,134,,,7,9.5714285714286,8,OPTIMAL,0.06,
scalability,SCAL-015,bom_15,bom_supemis_15.csv,EMISTAXE,PLM,1,10,0,2500000,127610,127452,127452,,,0,0,0,33149700,,,,,157,,,8,9.8125,8,OPTIMAL,0.59,
scalability,SCAL-020,bom_20,bom_supemis_20.csv,EMISTAXE,PLM,1,10,0,2500000,239250,239002,239002,,,0,0,0,25445290,,,,,248,,,6,11.809523809524,9,OPTIMAL,0.47,
scalability,SCAL-025,bom_25,bom_supemis_25.csv,EMISTAXE,PLM,1,10,0,2500000,273410,273094,273094,,,0,0,0,31154440,,,,,319,,,6,12.269230769231,4,OPTIMAL,0.39,
scalability,SCAL-026,bom_26,bom_supemis_26.csv,EMISTAXE,PLM,1,10,0,2500000,867550,867120,867120,,,0,0,0,41574400,,,,,430,,,1,15.925925925926,5,OPTIMAL,0.08,
scalability,SCAL-030,bom_30,bom_supemis_30.csv,EMISTAXE,PLM,1,10,0,2500000,876260,875780,875780,,,0,0,0,49597500,,,,,478,,,1,15.41935483871,7,OPTIMAL,0.17,
scalability,SCAL-035,bom_35,bom_supemis_35.csv,EMISTAXE,PLM,1,10,0,2500000,358950,358472,358472,,,0,0,0,48310880,,,,,479,,,9,13.305555555556,5,OPTIMAL,0.63,
scalability,SCAL-040,bom_40,bom_supemis_40.csv,EMISTAXE,PLM,1,10,0,2500000,1201300,1200760,1200760,,,0,0,0,101719560,,,,,531,,,5,12.951219512195,3,OPTIMAL,0.09,
scalability,SCAL-050,bom_50,bom_supemis_50.csv,EMISTAXE,PLM,1,10,0,2500000,1382200,1381460,1381460,,,0,0,0,194576659,,,,,706,,,5,13.843137254902,5,OPTIMAL,0.06,
scalability,SCAL-060,bom_60,bom_supemis_60.csv,EMISTAXE,PLM,1,10,0,2500000,2419100,2417975,2417975,,,0,0,0,1787786670,,,,,1138,,,5,18.655737704918,10,OPTIMAL,0.06,
scalability,SCAL-080,bom_80,bom_supemis_80.csv,EMISTAXE,PLM,1,10,0,2500000,3377400,3375920,3375920,,,0,0,0,2592600000,,,,,1454,,,5,17.950617283951,9,OPTIMAL,0.13,
scalability,SCAL-090,bom_90,bom_supemis_90.csv,EMISTAXE,PLM,1,10,0,2500000,2438400,2436599,2436599,,,0,0,0,9092900000,,,,,1797,,,14,19.747252747253,10,OPTIMAL,0.08,
scalability,SCAL-100,bom_100,bom_supemis_100.csv,EMISTAXE,PLM,1,10,0,2500000,2797800,2795569,2795569,,,0,0,0,14450000000,,,,,2250,,,18,22.277227722772,10,OPTIMAL,0.09,
scalability,SCAL-123,bom_123,bom_supemis_123.csv,EMISTAXE,PLM,1,10,0,2500000,2564500,2562560,2562560,,,0,0,0,646956126.6,,,,,1905,,,7,15.362903225806,10,OPTIMAL,0.66,
scalability,SCAL-150,bom_150,bom_supemis_150.csv,EMISTAXE,PLM,1,10,0,2500000,3717200,3714089,3714089,,,0,0,0,25080000000,,,,,3125,,,57,20.695364238411,10,OPTIMAL,0.14,
topology_baseline,TOPO-multi_level-bom_ml4_30,bom_ml4_30,bom_supemis_ml4_30.csv,EMISTAXE,PLM,1,10,0,2500000,378730,378440,378440,,,0,0,0,13603260,,,,,290,,,3,9.3548387096774,4,OPTIMAL,0.23,
topology_baseline,TOPO-multi_level-bom_ml4_55,bom_ml4_55,bom_supemis_ml4_55.csv,EMISTAXE,PLM,1,10,0,2500000,626340,625892,625892,,,0,0,0,20449523.6,,,,,452,,,10,8.0714285714286,3,OPTIMAL,5.73,
topology_baseline,TOPO-multi_level-bom_ml5_45,bom_ml5_45,bom_supemis_ml5_45.csv,EMISTAXE,PLM,1,10,0,2500000,426530,426068,426068,,,0,0,0,21728460,,,,,459,,,3,9.9782608695652,5,OPTIMAL,0.52,
topology_baseline,TOPO-multi_level-bom_ml5_65,bom_ml5_65,bom_supemis_ml5_65.csv,EMISTAXE,PLM,1,10,0,2500000,502140,501452.8,501452.8,,,0,0,0,29937037.2,,,,,684,,,18,10.363636363636,5,OPTIMAL,1.34,
topology_baseline,TOPO-multi_level-bom_ml6_70,bom_ml6_70,bom_supemis_ml6_70.csv,EMISTAXE,PLM,1,10,0,2500000,584160,583456,583456,,,0,0,0,32567175,,,,,707,,,10,9.9577464788732,4,OPTIMAL,1.72,
topology_baseline,TOPO-parallel-bom_par2,bom_par2,bom_supemis_par2.csv,EMISTAXE,PLM,1,10,0,2500000,98611,98537,98537,,,0,0,0,10080095,,,,,74,,,4,7.4,6,OPTIMAL,0.17,
topology_baseline,TOPO-parallel-bom_par3,bom_par3,bom_supemis_par3.csv,EMISTAXE,PLM,1,10,0,2500000,79037,78984,78984,,,0,0,0,8148140,,,,,53,,,4,4.4166666666667,4,OPTIMAL,0.13,
topology_baseline,TOPO-parallel-bom_par4,bom_par4,bom_supemis_par4.csv,EMISTAXE,PLM,1,10,0,2500000,169980,169920,169920,,,0,0,0,5939600,,,,,57,,,6,5.1818181818182,4,OPTIMAL,0.09,
topology_baseline,TOPO-parallel-bom_par5,bom_par5,bom_supemis_par5.csv,EMISTAXE,PLM,1,10,0,2500000,220810,220691,220691,,,0,0,0,18512205,,,,,115,,,7,6.0526315789474,6,OPTIMAL,0.11,
topology_baseline,TOPO-parallel-bom_par6,bom_par6,bom_supemis_par6.csv,EMISTAXE,PLM,1,10,0,2500000,275670,275520,275520,,,0,0,0,18894145,,,,,151,,,11,6.04,6,OPTIMAL,0.23,
carbon_tax_sweep,TAX-bom_5-0.00,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0,2500000,48670,48640,48640,,,0,0,0,2932200,2932200,0,,,30,0,,3,5,4,OPTIMAL,0.05,
carbon_tax_sweep,TAX-bom_5-0.01,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0.01,2500000,74119,74092,51555,,,22537,0,0,2253700,2932200,23.139622126731,,,27,10,,4,4.5,3,OPTIMAL,0.06,
carbon_tax_sweep,TAX-bom_5-0.02,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0.02,2500000,90343,90320,60260,,,30060,0,0,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.03,
carbon_tax_sweep,TAX-bom_5-0.03,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0.03,2500000,105370,105350,60260,,,45090,0,0,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.06,
carbon_tax_sweep,TAX-bom_5-0.05,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0.05,2500000,135430,135410,60260,,,75150,0,0,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.05,
carbon_tax_sweep,TAX-bom_5-0.10,bom_5,bom_supemis_5.csv,EMISTAXE,PLM,1,10,0.1,2500000,210580,210560,60260,,,150300,0,0,1503000,2932200,48.741559238797,,,23,23.333333333333,,5,3.8333333333333,3,OPTIMAL,0.03,
carbon_tax_sweep,TAX-bom_13-0.00,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0,2500000,116580,116448,116448,,,0,0,0,29495946,29495946,0,,,134,0,,7,9.5714285714286,8,OPTIMAL,0.05,
carbon_tax_sweep,TAX-bom_13-0.01,bom_13,bom_supemis_13.csv,EMISTAXE,PLM,1,10,0.01,2500000,361060,360946.72,129208,,,231738.72,0,0,23173872,29495946,21.433704821673,,,109,18.65671641791,,9,7.7857142857143,8,OPTIMAL,0.19,
